Обработка видео: 1.mp4, 2025-10-21 17:33:08.911871
Всего кадров: 656, Кадров с QR-кодом: 642
Кадр 46: Данные: https://github.com/Cube-module, Координаты: [(784, 323), (1261, 315), (1251, 772), (797, 779)], Уверенность: 0.00
Кадр 47: Данные: https://github.com/Cube-module, Координаты: [(784, 320), (1262, 312), (1252, 771), (798, 778)], Уверенность: 0.00
Кадр 48: Данные: https://github.com/Cube-module, Координаты: [(784, 318), (1263, 311), (1253, 771), (797, 776)], Уверенность: 0.00
Кадр 49: Данные: https://github.com/Cube-module, Координаты: [(784, 316), (1263, 309), (1253, 769), (797, 775)], Уверенность: 0.00
Кадр 50: Данные: https://github.com/Cube-module, Координаты: [(782, 313), (1262, 306), (1252, 766), (795, 773)], Уверенность: 0.00
Кадр 51: Данные: https://github.com/Cube-module, Координаты: [(780, 310), (1261, 304), (1250, 764), (793, 770)], Уверенность: 0.00
Кадр 52: Данные: https://github.com/Cube-module, Координаты: [(777, 308), (1258, 301), (1248, 761), (791, 768)], Уверенность: 0.00
Кадр 53: Данные: https://github.com/Cube-module, Координаты: [(773, 305), (1256, 300), (1244, 761), (788, 766)], Уверенность: 0.00
Кадр 54: Данные: https://github.com/Cube-module, Координаты: [(771, 304), (1252, 297), (1241, 759), (784, 766)], Уверенность: 0.00
Кадр 55: Данные: https://github.com/Cube-module, Координаты: [(765, 302), (1248, 295), (1238, 758), (780, 765)], Уверенность: 0.00
Кадр 56: Данные: https://github.com/Cube-module, Координаты: [(758, 300), (1243, 294), (1231, 757), (775, 764)], Уверенность: 0.00
Кадр 57: Данные: https://github.com/Cube-module, Координаты: [(752, 299), (1237, 293), (1225, 757), (768, 764)], Уверенность: 0.00
Кадр 58: Данные: https://github.com/Cube-module, Координаты: [(744, 298), (1231, 293), (1218, 757), (761, 764)], Уверенность: 0.00
Кадр 59: Данные: https://github.com/Cube-module, Координаты: [(736, 298), (1223, 293), (1211, 757), (753, 764)], Уверенность: 0.00
Кадр 60: Данные: https://github.com/Cube-module, Координаты: [(726, 299), (1214, 293), (1204, 758), (742, 765)], Уверенность: 0.00
Кадр 61: Данные: https://github.com/Cube-module, Координаты: [(719, 300), (1205, 295), (1195, 760), (735, 767)], Уверенность: 0.00
Кадр 62: Данные: https://github.com/Cube-module, Координаты: [(707, 304), (1194, 297), (1184, 762), (725, 769)], Уверенность: 0.00
Кадр 63: Данные: https://github.com/Cube-module, Координаты: [(697, 303), (1184, 299), (1174, 764), (716, 771)], Уверенность: 0.00
Кадр 64: Данные: https://github.com/Cube-module, Координаты: [(687, 305), (1174, 301), (1165, 766), (706, 774)], Уверенность: 0.00
Кадр 65: Данные: https://github.com/Cube-module, Координаты: [(675, 307), (1165, 303), (1154, 770), (694, 775)], Уверенность: 0.00
Кадр 66: Данные: https://github.com/Cube-module, Координаты: [(663, 308), (1153, 304), (1144, 772), (684, 777)], Уверенность: 0.00
Кадр 67: Данные: https://github.com/Cube-module, Координаты: [(652, 309), (1142, 307), (1133, 771), (674, 778)], Уверенность: 0.00
